emotion,intensity,socialInteraction,productivity,overwhelmed,recentThoughts,context,duration,moodLabel,recommendation1,recommendation2,recommendation3
Anxious,3,Rarely,No,No,Thinking about financial stability,Social gathering,1 week,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Excited,9,Often,Unsure,Yes,Anticipating a celebration,Work,2 days,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Frustrated,8,Frequently,Unsure,No,Unexpected obstacles,Work,2 days,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Angry,5,Occasionally,Unsure,Yes,Having personal boundaries crossed,School,1 month,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,1,Often,Unsure,No,Inspired by others,Work,1 month,Positive,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Disappointed,10,Frequently,Unsure,No,Unfulfilled expectations,Gym,2 days,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Frustrated,6,Never,Yes,Yes,Unexpected obstacles,Home,3 days,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Excited,3,Never,Unsure,Yes,Preparing for a birthday party,Gym,3 days,Positive,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Content,3,Occasionally,Unsure,Yes,Grateful for small things,Park,2 weeks,Positive,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,6,Rarely,Unsure,Yes,Connecting with supportive people,Work,2 weeks,Positive,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,6,Never,Yes,Yes,Feeling behind on work,Social gathering,1 month,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Stressed,3,Occasionally,Unsure,Yes,Dealing with unexpected challenges,Social gathering,2 days,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Angry,1,Often,No,No,Having personal boundaries crossed,Coffee shop,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,6,Occasionally,No,Yes,Feeling reinvigorated,Home,2 weeks,Positive,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,5,Occasionally,No,No,Dealing with personal crises,Home,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,3,Frequently,Unsure,Yes,Just passing time,School,1 day,Neutral,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Sad,2,Often,No,Yes,Broke a promise,Gym,2 days,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Bored,4,Never,Unsure,Yes,Stuck in a rut,Community center,2 days,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Anxious,10,Occasionally,Unsure,Yes,Traveling to a new place,Social gathering,1 month,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Happy,1,Occasionally,Unsure,No,Enjoyed favorite hobby,Park,2 days,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Happy,10,Rarely,Unsure,No,Received good news,Family event,1 week,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Curious,5,Often,Yes,No,Looking for answers,School,1 day,Neutral,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Curious,5,Never,Unsure,No,Wanting to try new things,Community center,2 weeks,Neutral,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Stressed,2,Occasionally,No,No,Dealing with unexpected challenges,Outside,1 month,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,6,Often,Unsure,No,Feeling behind on work,Home,1 month,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Bored,1,Rarely,Yes,No,Looking for something new,Park,1 month,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Sad,4,Never,No,No,Watched a sad movie,Social gathering,3 days,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Content,7,Frequently,Unsure,Yes,Sipping coffee in silence,Gym,1 month,Positive,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,2,Frequently,Unsure,No,Feeling isolated in stress,Outside,3 days,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,1,Frequently,No,Yes,Unexpected problems,Gym,1 week,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,8,Rarely,Unsure,No,Information overload,Community center,1 day,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,9,Never,Unsure,No,Multiple deadlines,Park,1 week,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Relaxed,7,Frequently,Yes,Yes,Felt free from stress,Family event,3 days,Positive,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,3,Often,Yes,Yes,Visualizing success,Community center,2 weeks,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Happy,2,Occasionally,Unsure,Yes,Learned something new,Family event,1 week,Positive,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Anxious,9,Often,No,No,Important meeting,Social gathering,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Sad,5,Rarely,Unsure,Yes,Feeling trapped in a routine,Community center,3 days,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Angry,10,Never,Unsure,Yes,Seeing a loved one hurt,School,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Happy,2,Rarely,No,No,Got a compliment,Social gathering,1 week,Positive,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,8,Frequently,Unsure,Yes,Strolling without a destination,Coffee shop,2 weeks,Neutral,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,9,Frequently,No,No,Hoping for the best,Work,1 day,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Disappointed,6,Occasionally,Yes,Yes,Disheartening news,Gym,3 days,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Frustrated,6,Occasionally,Unsure,Yes,Realizing a mistake,Outside,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,5,Never,No,No,Too many tasks,School,3 days,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Bored,5,Never,Yes,Yes,Scrolling through social media aimlessly,Park,1 month,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Disappointed,4,Never,Yes,No,Hopes not met,Work,1 week,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,4,Occasionally,Yes,Yes,Running out of resources,Coffee shop,3 days,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,2,Rarely,Unsure,Yes,Inspired by others,Social gathering,2 days,Positive,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,7,Never,Yes,No,Multiple deadlines,Community center,1 month,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,9,Never,Yes,Yes,Strolling without a destination,Home,2 days,Neutral,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Relaxed,10,Frequently,Yes,No,Engaged in a peaceful hobby,Work,3 days,Positive,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Anxious,8,Rarely,No,No,Confronting a fear,Outside,1 day,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Sad,4,Occasionally,No,Yes,Feeling lonely,School,1 week,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Stressed,10,Often,Yes,No,Facing a major life decision,Coffee shop,1 week,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,3,Frequently,Unsure,No,Just passing time,Community center,2 weeks,Neutral,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Relaxed,1,Often,Yes,Yes,Had a spa day,Family event,2 days,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Anxious,2,Often,No,Yes,Thinking about financial stability,Work,1 week,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,5,Often,Yes,Yes,Planning for growth,Gym,1 month,Positive,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Frustrated,10,Frequently,Yes,No,Dealing with unfair criticism,Outside,3 days,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
